ID_C_AUC,N_1a11d
5792,0
5793,0
5794,0
5795,0
5796,0
5797,0
5798,0
5799,0
5800,0
5801,2
5802,1
5803,0
5804,1
5805,0
5806,0
5807,0
5808,0
5809,1
5810,0
5811,0
5812,0
5813,0
5814,0
5815,0
5816,0
5817,0
5818,0
5819,1
5820,0
5821,9
5822,9
5823,0
5824,0
5825,0
5826,4
5827,0
5828,0
5829,0
5830,0
5831,0
5832,0
5833,0
5834,0
5835,0
5836,1
5837,12
5838,0
5839,0
5840,0
5841,0
5842,0
5843,0
5844,0
5845,7
5846,0
5847,0
5848,1
5849,1
5850,0
5851,0
5852,0
5853,0
5854,0
5855,0
5856,2
5857,7
5858,0
5859,0
5860,0
5861,0
5862,1
5863,10
5864,6
5865,0
5866,0
5867,4
5868,0
5869,0
5870,2
5871,0
5872,0
5873,0
5874,2
5875,6
5876,0
5877,0
5878,0
5879,3
5880,4
5881,21
5882,10
5883,9
5884,1
5885,5
5886,5
5887,0
5888,0
5889,0
5890,0
5891,5
5892,12
5893,61
5894,44
5895,13
5896,12
5897,3
5898,0
5899,0
5900,0
5901,0
5902,1
5903,39
5904,28
5905,19
5906,161
5907,23
5908,3
5909,1
5910,2
5911,0
5912,0
5913,0
5914,7
5915,37
5916,14
5917,7
5918,0
5919,1
5920,0
5921,0
5922,0
5923,3
5924,1
5925,0
5926,0
5927,0
5928,0
5929,0
5930,1
5931,0
5932,0
5933,11
5934,34
5935,12
5936,2
5937,2
5938,2
5939,2
5940,1
5941,0
5942,0
5943,0
5944,0
5945,2
5946,0
5947,0
5948,5
5949,3
5950,2
5951,2
5952,2
5953,0
5954,3
5955,2
5956,0
5957,0
5958,0
5959,0
5960,0
5961,0
5962,0
5963,0
5964,0
5965,1
5966,0
5967,0
5968,0
5969,1
5970,0
5971,0
5972,0
5973,4
5974,3
5975,0
5976,1
5977,1
5978,0
5979,3
5980,1
5981,0
5982,0
5983,0
5984,4
5985,0
5986,1
5987,0
5988,2
5989,0
5990,0
5991,0
5992,9
5993,0
5994,1
5995,0
5996,0
5997,12
5998,5
5999,0
6000,2
6001,5
6002,0
6003,1
6004,1
6005,3
6006,2
6007,4
6008,0
6009,1
6010,0
6011,2
6012,0
6013,0
6014,0
6015,0
6016,0
6017,3
6018,1
6019,0
6020,0
6021,0
6022,0
6023,0
6024,0
6025,0
6026,0
6027,0
6028,0
6029,0
6030,0
6031,0
6032,0
6033,0
6034,0
6035,0
6036,0
6037,0
6038,3
6039,2
6040,1
6041,9
6042,4
6043,3
6044,1
6045,0
6046,3
6047,0
6048,0
6049,1
6050,0
6051,0
6052,0
6053,5
6054,31
6055,21
6056,2
6057,0
6058,0
6059,0
6060,0
6061,3
6062,0
6063,14
6064,18
6065,2
6066,2
6067,2
6068,0
6069,1
6070,0
6071,0
6072,0
6073,0
6074,0
6075,1
6076,0
6077,0
6078,0
6079,1
6080,1
6081,1
6082,0
6083,0
6084,0
6085,0
6086,0
6087,0
6088,0
6089,0
6090,0
6091,0
6092,0
6093,0
6094,0
6095,0
6096,0
6097,0
6098,0
6099,0
6100,0
6101,0
6102,0
6103,1
6104,0
6105,0
6106,0
6107,1
6108,2
6109,0
6110,0
6111,0
6112,1
6113,0
6114,0
6115,0
6116,0
6117,0
6118,1
6119,0
6120,3
6121,0
6122,0
6123,1
6124,0
6125,0
6126,0
6127,0
6128,0
6129,1
6130,0
6131,0
6132,2
6133,0
6134,0
6135,0
6136,0
6137,7
6138,3
6139,1
6140,1
6141,0
6142,0
6143,7
6144,6
6145,4
6146,0
6147,0
6148,0
6149,4
6150,5
6151,3
6152,2
6153,1
6154,0
6155,1
6156,0
6157,0
6158,0
6159,0
6160,0
6161,1
6162,1
6163,1
6164,0
6165,0
6166,15
6167,0
6168,0
6169,0
6170,0
6171,3
6172,0
6173,0
6174,0
6175,0
6176,4
6177,25
6178,4
6179,2
6180,1
6181,0
6182,1
6183,0
6184,0
6185,12
6186,21
6187,13
6188,2
6189,7
6190,6
6191,0
6192,0
6193,3
6194,2
6195,3
6196,13
6197,6
6198,1
6199,0
6200,0
6201,1
6202,0
6203,0
6204,12
6205,6
6206,4
6207,8
6208,0
6209,9
6210,8
6211,0
6212,0
6213,0
6214,0
6215,1
6216,0
6217,1
6218,10
6219,8
6220,11
6221,20
6222,3
6223,11
6224,8
6225,6
6226,1
6227,0
6228,0
6229,0
6230,0
6231,2
6232,7
6233,9
6234,10
6235,9
6236,12
6237,6
6238,11
6239,3
6240,0
6241,0
6242,2
6243,10
6244,32
6245,17
6246,5
6247,0
6248,0
6249,0
6250,0
6251,0
6252,0
6253,0
6254,0
6255,1
6256,4
6257,0
6258,3
6259,1
6260,1
6261,0
6262,1
6263,1
6264,1
6265,0
6266,0
6267,0
6268,0
6269,0
6270,0
6271,0
6272,0
6273,0
6274,1
6275,0
6276,0
6277,0
6278,0
6279,0
6280,0
6281,1
6282,0
6283,0
6284,0
6285,0
6286,0
6287,0
6288,1
6289,0
6290,0
6291,2
6292,0
6293,0
6294,0
6295,0
6296,0
6297,0
6298,0
6299,1
6300,0
6301,0
6302,0
6303,0
6304,0
6305,0
6306,2
6307,6
6308,0
6309,0
6310,2
6311,0
6312,0
6313,0
6314,0
6315,10
6316,1
6317,0
6318,1
6319,3
6320,12
6321,5
6322,0
6323,0
6324,2
6325,9
6326,9
6327,0
6328,0
6329,0
6330,0
6331,0
6332,2
6333,0
6334,0
6335,0
6336,0
6337,0
6338,0
6339,0
6340,0
6341,0
6342,0
6343,0
6344,4
6345,0
6346,0
6347,0
6348,0
6349,4
6350,0
6351,0
6352,0
6353,0
6354,0
6355,0
6356,1
6357,0
6358,0
6359,0
6360,0
6361,0
6362,0
6363,0
6364,0
6365,0
6366,0
6367,0
6368,3
6369,8
6370,5
6371,1
6372,0
6373,0
6374,0
6375,0
6376,0
6377,0
6378,0
6379,14
6380,9
6381,14
6382,6
6383,1
6384,0
6385,0
6386,0
6387,4
6388,1
6389,1
6390,6
6391,0
6392,0
6393,0
6394,0
6395,0
6396,0
6397,0
6398,2
6399,5
6400,0
6401,0
6402,0
6403,0
6404,1
6405,0
6406,0
6407,0
6408,0
6409,0
6410,0
6411,0
6412,0
6413,0
6414,0
6415,0
6416,0
6417,0
6418,0
6419,1
6420,1
6421,0
6422,0
6423,0
6424,0
6425,1
6426,0
6427,0
6428,0
6429,4
6430,8
6431,0
6432,0
6433,5
6434,5
6435,0
6436,2
6437,0
6438,0
6439,0
6440,3
6441,0
6442,0
6443,2
6444,0
6445,0
6446,0
6447,0
6448,0
6449,0
6450,0
6451,0
6452,0
6453,2
6454,0
6455,0
6456,1
6457,0
6458,0
6459,0
6460,0
6461,0
6462,0
6463,0
6464,0
6465,0
6466,0
6467,0
6468,0
6469,0
6470,1
6471,0
6472,0
6473,0
6474,0
6475,0
6476,0
6477,0
6478,0
6479,2
6480,0
6481,0
6482,0
6483,0
6484,0
6485,0
6486,0
6487,0
6488,0
6489,0
6490,0
6491,0
6492,0
6493,2
6494,1
6495,0
6496,0
6497,1
6498,2
6499,0
6500,0
6501,0
6502,0
6503,9
6504,4
6505,8
6506,8
6507,7
6508,0
6509,0
6510,0
6511,1
6512,0
6513,0
6514,0
6515,2
6516,0
6517,0
6518,4
6519,7
6520,5
6521,3
6522,9
6523,0
6524,0
6525,0
6526,0
6527,0
6528,2
6529,7
6530,1
6531,0
6532,0
6533,0
6534,0
6535,0
6536,4
6537,13
6538,1
6539,0
6540,0
6541,0
6542,0
6543,0
6544,6
6545,7
6546,0
6547,0
6548,0
6549,0
6550,0
6551,0
6552,0
6553,0
6554,0
6555,0
6556,0
6557,0
6558,0
6559,0
6560,0
6561,0
6562,0
6563,0
6564,0
6565,0
6566,0
6567,0
6568,0
6569,0
6570,0
6571,1
6572,0
6573,0
6574,0
6575,0
6576,0
6577,4
6578,0
6579,0
6580,0
6581,1
6582,0
6583,1
6584,0
6585,0
6586,0
6587,0
6588,0
6589,0
6590,0
6591,0
6592,1
6593,2
6594,3
6595,0
6596,3
6597,0
6598,0
6599,2
6600,0
6601,0
6602,0
6603,0
6604,0
6605,0
6606,0
6607,0
6608,0
6609,0
6610,0
6611,0
6612,0
6613,0
6614,0
6615,0
6616,0
6617,0
6618,0
6619,0
6620,0
6621,0
6622,0
6623,0
6624,1
6625,0
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0
6632,0
6633,0
6634,0
6635,0
6636,0
6637,0
6638,0
6639,0
6640,0
6641,2
6642,0
6643,0
6644,0
6645,0
6646,0
6647,0
6648,1
6649,1
6650,2
6651,8
6652,4
6653,0
6654,4
6655,0
6656,12
6657,0
6658,0
6659,0
6660,2
6661,0
6662,4
6663,3
6664,0
6665,0
6666,0
6667,0
6668,0
6669,0
6670,0
6671,0
6672,0
6673,0
6674,0
6675,0
6676,0
6677,0
6678,1
6679,0
6680,0
6681,0
6682,0
6683,0
6684,3
6685,6
6686,10
6687,0
6688,0
6689,1
6690,0
6691,0
6692,2
6693,0
6694,0
6695,1
6696,5
6697,8
6698,0
6699,0
6700,12
6701,11
6702,11
6703,0
6704,0
6705,1
6706,1
6707,10
6708,0
6709,0
6710,0
6711,0
6712,1
6713,0
6714,0
6715,0
6716,0
6717,0
6718,0
6719,0
6720,0
6721,0
6722,0
6723,0
6724,0
6725,0
6726,0
6727,0
6728,0
6729,0
6730,0
6731,1
6732,0
6733,1
6734,0
6735,1
6736,4
6737,0
6738,1
6739,1
6740,1
6741,1
6742,0
6743,0
6744,0
6745,0
6746,0
6747,1
6748,0
6749,0
6750,0
6751,0
6752,0
6753,0
6754,0
6755,0
6756,0
6757,6
6758,0
6759,0
6760,0
6761,0
6762,0
6763,0
6764,0
6765,0
6766,0
6767,0
6768,0
6769,0
6770,0
6771,0
6772,0
6773,1
6774,0
6775,0
6776,0
6777,0
6778,0
6779,0
6780,0
6781,0
6782,1
6783,0
6784,0
6785,0
6786,0
6787,0
6788,0
6789,2
6790,5
6791,0
6792,0
6793,0
6794,0
6795,0
6796,0
6797,0
6798,0
6799,1
6800,0
6801,0
6802,2
6803,0
6804,0
6805,3
6806,0
6807,0
6808,0
6809,0
6810,0
6811,0
6812,2
6813,3
6814,0
6815,8
6816,4
6817,14
6818,1
6819,0
6820,0
6821,0
6822,0
6823,0
6824,0
6825,3
6826,8
6827,8
6828,8
6829,0
6830,3
6831,0
6832,0
6833,1
6834,0
6835,0
6836,0
6837,0
6838,4
6839,4
6840,10
6841,7
6842,7
6843,10
6844,9
6845,22
6846,2
6847,0
6848,0
6849,0
6850,0
6851,0
6852,0
6853,0
6854,0
6855,3
6856,0
6857,0
6858,2
6859,7
6860,22
6861,4
6862,19
6863,28
6864,53
6865,29
6866,0
6867,0
6868,0
6869,1
6870,6
6871,0
6872,2
6873,10
6874,22
6875,4
6876,0
6877,0
6878,0
6879,9
6880,10
6881,16
6882,9
6883,18
6884,32
6885,23
6886,0
6887,1
6888,0
6889,0
6890,1
6891,0
6892,1
6893,5
6894,6
6895,12
6896,16
6897,8
6898,4
6899,0
6900,0
6901,6
6902,8
6903,1
6904,7
6905,7
6906,7
6907,5
6908,2
6909,1
6910,1
6911,0
6912,4
6913,0
6914,1
6915,0
6916,1
6917,9
6918,5
6919,1
6920,0
6921,3
6922,2
6923,0
6924,0
6925,0
6926,4
6927,0
6928,0
6929,0
6930,1
6931,0
6932,0
6933,0
6934,0
6935,10
6936,0
6937,0
6938,0
6939,0
6940,0
6941,1
6942,0
6943,1
6944,0
6945,5
6946,0
6947,0
6948,0
6949,0
6950,1
6951,1
6952,0
6953,0
6954,0
6955,0
6956,3
6957,2
6958,0
6959,1
6960,1
6961,0
6962,0
6963,0
6964,0
6965,1
6966,0
6967,5
6968,0
6969,0
6970,3
6971,0
6972,0
6973,0
6974,0
6975,0
6976,0
6977,0
6978,1
6979,5
6980,0
6981,0
6982,12
6983,20
6984,9
6985,9
6986,0
6987,0
6988,2
6989,2
6990,0
6991,0
6992,1
6993,0
6994,4
6995,10
6996,0
6997,12
6998,13
6999,11
7000,18
7001,4
7002,17
7003,16
7004,1
7005,0
7006,2
7007,1
7008,0
7009,0
7010,7
7011,1
7012,0
7013,0
7014,0
7015,6
7016,35
7017,6
7018,0
7019,0
7020,22
7021,6
7022,0
7023,1
7024,7
7025,0
7026,0
7027,1
7028,0
7029,0
7031,0
7032,11
7033,11
7034,16
7035,6
7036,0
7037,17
7038,8
7039,0
7040,0
7041,1
7042,0
7043,2
7044,0
7045,0
7046,0
7047,1
7048,17
7049,25
7050,18
7051,0
7052,0
7053,12
7054,3
7055,0
7056,0
7057,1
7058,0
7059,21
7060,13
7061,0
7062,0
7063,0
7064,0
7065,0
7066,0
7067,0
7068,0
7069,0
7070,1
7071,0
7072,0
7073,0
7074,0
7075,21
7076,16
7077,8
7078,0
7079,0
7080,0
7081,2
7082,0
7083,0
7084,0
7085,0
7086,0
7087,0
7088,0
7089,0
7090,0
7091,1
7092,16
7093,25
7094,22
7095,8
7096,1
7097,4
7098,7
7099,1
7100,2
7101,0
7102,0
7103,0
7104,0
7105,0
7106,0
7107,0
7108,0
7109,12
7110,35
7111,44
7112,17
7113,0
7114,1
7115,3
7116,11
7117,0
7118,1
7119,0
7120,0
7121,0
7122,0
7123,30
7124,49
7125,39
7126,16
7127,2
7128,2
7129,23
7130,33
7131,13
7132,0
7133,0
7134,0
7135,4
7136,1
7137,0
7138,0
7139,0
7140,1
7141,22
7142,7
7143,19
7144,14
7145,4
7146,7
7147,29
7148,11
7149,0
7150,0
7151,0
7152,0
7153,0
7154,0
7155,0
7156,0
7157,2
7158,0
7159,1
7160,0
7161,0
7162,0
7163,25
7164,31
7165,11
7166,17
7167,13
7168,4
7169,0
7170,2
7171,0
7172,1
7173,0
7174,2
7175,1
7176,0
7177,0
7178,0
7179,1
7180,0
7181,0
7182,0
7183,1
7184,0
7185,0
7186,5
7187,25
7188,26
7189,17
7190,2
7191,12
7192,12
7193,2
7194,0
7195,0
7196,0
7197,0
7198,0
7199,0
7200,14
7201,9
7202,23
7203,4
7204,0
7205,0
7206,1
7207,12
7208,5
7209,17
7210,0
7211,0
7212,24
7213,6
7214,0
7215,2
7216,32
7217,1
7218,8
7219,14
7220,6
7221,0
7222,0
7223,0
7224,20
7225,2
7226,0
7227,4
7228,1
7229,0
7230,0
7231,22
7232,14
7233,3
7234,0
7235,10
7236,0
7237,0
7238,6
7239,3
7240,0
7241,0
7242,0
7243,0
7244,0
7245,0
7246,0
7247,21
7248,11
7249,5
7250,2
7251,0
7252,0
7253,0
7254,0
7255,0
7256,0
7257,0
7258,0
7259,0
7260,0
7261,0
7262,0
7263,0
7264,1
7265,1
7266,0
7267,0
7268,0
7269,0
7270,0
7271,10
7272,1
7273,0
7274,4
7275,1
7276,1
7277,0
7278,2
7279,0
7280,0
7281,3
7282,0
7283,0
7284,0
7285,0
7286,12
7287,10
7288,0
7289,0
7290,0
7291,0
7292,0
7293,8
7294,13
7295,0
7296,1
7297,0
7298,0
7299,0
7300,0
7301,10
7302,2
7303,2
7304,0
7305,0
7306,1
7307,0
7308,5
7309,6
7310,0
7311,0
7312,0
7313,0
7314,4
7315,14
7316,4
7317,0
7318,0
7319,0
7320,10
7321,20
7322,9
7323,0
7324,0
7325,0
7326,0
7327,27
7328,20
7329,1
7330,0
7331,0
7332,0
7333,0
7334,8
7335,11
7336,2
7337,1
7338,0
7339,0
7340,0
7341,0
7342,1
7343,0
7344,18
7345,0
7346,1
7347,0
7348,12
7349,4
7350,0
7351,0
7352,0
7353,0
7354,5
7355,1
7356,0
7357,0
7358,9
7359,4
7360,0
7361,0
7362,1
7363,0
7364,15
7365,0
7366,0
7367,1
7368,2
7369,0
7370,0
7371,0
7372,34
7373,27
7374,0
7375,0
7376,0
7377,2
7378,0
7379,0
7380,0
7381,19
7382,14
7383,26
7384,6
7385,0
7386,0
7387,1
7388,14
7389,37
7390,12
7391,1
7392,0
7393,0
7394,0
7395,0
7396,12
7397,19
7398,5
7399,0
7400,3
7401,4
7402,1
7403,0
7404,0
7405,29
7406,17
7407,0
7408,0
7409,0
7410,4
7411,0
7412,0
7413,2
7414,4
7415,3
7416,6
7417,7
7418,6
7419,0
7420,0
7421,0
7423,0
7424,26
7425,2
7426,0
7428,0
7429,0
7430,0
7431,0
7432,0
7433,0
7434,0
7435,0
7436,0
7437,0
7438,0
7439,0
7440,4
7441,0
7442,0
7443,0
7444,1
7445,0
7446,0
7447,0
7448,0
7449,0
7450,1
7451,0
7452,0
7453,0
7454,0
7455,2
7456,9
7457,21
7458,19
7459,0
7460,2
7461,0
7462,0
7463,0
7464,1
7465,0
7466,1
7467,0
7468,0
7469,2
7470,35
7471,23
7472,0
7473,0
7474,1
7475,4
7476,3
7477,4
7478,0
7479,0
7480,32
7481,14
7482,0
7483,1
7484,0
7485,2
7486,0
7487,5
7488,6
7489,0
7490,0
7491,0
7492,1
7493,0
7494,0
7495,0
7496,0
7497,0
7498,5
7499,0
7500,0
7501,0
7502,0
7503,1
7504,0
7505,1
7506,0
7507,0
7508,1
7509,0
7510,0
7511,0
7512,0
7513,1
7514,0
7515,0
7516,0
7517,0
7518,1
7519,0
7520,2
7521,4
7522,0
7523,0
7524,0
7525,0
7526,7
7527,4
7528,14
7529,0
7530,1
7531,1
7532,2
7533,0
7534,0
7535,0
7536,0
7537,0
7538,0
7539,0
7540,0
7541,0
7542,0
7543,0
7544,1
7545,2
7546,0
7547,0
7548,0
7549,0
7550,0
7551,0
7552,0
7553,0
7554,0
7555,0
7556,1
7557,0
7558,0
7559,1
7560,0
7561,0
7562,1
7563,0
7564,0
7565,0
7566,0
7567,0
7568,0
7569,0
7570,0
7571,0
7572,0
7573,13
7574,3
7575,12
7576,3
7577,0
7578,0
7579,0
7580,0
7581,0
7582,0
7583,0
7584,3
7585,6
7586,3
7587,0
7588,0
7589,0
7590,0
7591,0
7592,1
7593,14
7594,7
7595,8
7596,7
7597,4
7598,0
7599,0
7600,0
7601,11
7602,4
7603,0
7604,0
7605,0
7606,0
7607,1
7608,1
7609,0
7610,0
7611,5
7612,4
7613,0
7614,0
7615,0
7616,0
7617,0
7618,2
7619,0
7620,0
7621,0
7622,0
7623,0
7624,0
7625,9
7626,0
7627,0
7628,0
7629,0
7630,0
7631,0
7632,0
7633,0
7634,6
7635,1
7636,0
7637,0
7638,0
7639,0
7640,1
7641,0
7642,0
7643,0
7644,0
7645,0
7646,0
7647,2
7648,0
7649,0
7650,0
7651,0
7652,0
7653,3
7654,0
7655,0
7656,0
7657,0
7658,11
7659,0
7660,0
7661,0
7662,0
7663,0
7664,1
7665,0
7666,0
7667,0
7668,0
7669,0
7670,0
7671,0
7672,1
7673,4
7674,14
7675,3
7676,0
7677,0
7678,0
7679,0
7680,0
7681,0
7682,0
7683,0
7684,0
7685,2
7686,0
7687,1
7688,0
7689,0
7690,0
7691,5
7692,21
7693,18
7694,3
7695,6
7696,0
7697,0
7698,2
7699,0
7700,0
7701,1
7702,0
7703,0
7704,0
7705,0
7706,0
7707,0
7708,0
7709,2
7710,16
7711,13
7712,6
7713,2
7714,3
7715,0
7716,0
7717,0
7718,0
7719,0
7720,8
7721,3
7722,8
7723,21
7724,26
7725,0
7726,1
7727,0
7728,0
7729,0
7730,2
7731,23
7732,0
7733,2
7734,11
7735,0
7736,1
7737,1
7738,7
7739,0
7740,1
7741,0
7742,1
7743,1
7744,20
7745,21
7746,1
7747,5
7748,10
7749,6
7750,1
7751,0
7752,12
7753,5
7754,15
7755,0
7756,2
7757,4
7758,3
7759,1
7760,0
7761,0
7762,0
7763,0
7764,0
7765,0
7766,0
7767,0
7768,0
7769,0
7770,0
7771,0
7772,0
7773,0
7774,3
7775,0
7776,0
7777,0
7778,0
7779,1
7780,8
7781,0
7782,0
7783,0
7784,0
7785,0
7786,0
7787,0
7788,0
7789,0
7790,1
7791,0
7792,3
7793,3
7794,1
7795,7
7796,0
7797,9
7798,0
7799,0
7800,6
7801,8
7802,3
7803,0
7804,2
7805,0
7806,0
7807,3
7808,0
7809,0
7810,0
7811,2
7812,0
7813,0
7814,0
7815,0
7816,3
7817,6
7818,0
7819,0
7820,0
7821,0
7822,0
7823,0
7824,0
7825,0
7826,0
7827,0
7828,3
7829,0
7830,0
7831,1
7832,1
7833,0
7834,0
7835,0
7836,0
7837,0
7838,0
7839,0
7840,0
7841,0
7842,0
7843,9
7844,1
7845,0
7846,0
7847,0
7848,0
7849,1
7850,0
7851,0
7852,2
7853,0
7854,0
7855,1
7856,0
7857,0
7858,0
7859,0
7860,0
7861,1
7862,0
7863,22
7864,1
7865,0
7866,0
7867,0
7868,7
7869,5
7870,1
7871,1
7872,13
7873,1
7874,0
7875,1
7876,0
7877,0
7878,10
7879,0
7880,0
7881,0
7882,0
7883,0
7884,3
7885,2
7886,3
7887,3
7888,0
7889,0
7890,0
7891,0
7892,0
7893,0
7894,1
7895,3
7896,3
7897,4
7898,1
7899,7
7900,0
7901,0
7902,0
7903,8
7904,3
7905,0
7906,0
7907,0
7908,21
7909,0
7910,9
7911,11
7912,10
7913,4
7914,0
7915,0
7916,14
7917,3
7918,0
7919,0
7920,0
7921,1
7922,0
7923,2
7924,1
7925,6
7926,0
7927,0
7928,0
7929,0
7930,0
7931,1
7932,0
7933,10
7934,0
7935,1
7936,0
7937,0
7938,0
7939,4
7940,0
7941,2
7942,1
7943,1
7944,0
7945,0
7946,0
7947,0
7948,0
7949,0
7950,2
7951,0
7952,0
7953,0
7954,1
7955,0
7956,0
7957,2
7958,0
7959,1
7960,0
7961,0
7962,0
7963,5
7964,0
7965,0
7966,0
7967,1
7968,0
7969,0
7970,0
7971,0
7972,4
7973,0
7974,2
7975,0
7976,0
7977,0
7978,0
7979,1
7980,0
7981,0
7982,1
7983,0
7984,0
7985,0
7986,1
7987,2
7988,0
7989,1
7990,13
7991,0
7992,0
7993,0
7994,0
7995,4
7996,1
7997,5
7998,0
7999,8
8000,7
8001,7
8002,1
8003,6
8004,3
8005,14
8006,32
8007,3
8008,3
8009,0
8010,3
8011,0
8012,1
8013,5
8014,2
8015,0
8016,5
8017,6
8018,0
8019,2
8020,0
8021,1
8022,2
8023,0
8024,0
8025,1
8026,0
8027,0
8028,0
8029,3
8030,0
8031,1
8032,0
8033,0
8034,0
8035,0
8036,0
8037,0
8038,0
8039,8
8040,0
8041,0
8042,2
8043,0
8044,0
8045,0
8046,0
8047,0
8048,3
8049,0
8050,4
8051,3
8052,4
8053,0
8054,0
8055,0
8056,0
8057,0
8058,5
8059,1
8060,4
8061,10
8062,6
8063,5
8064,5
8065,2
8066,0
8067,6
8068,0
8069,0
8070,0
8071,0
8072,0
8073,0
8074,2
8075,0
8076,1
8077,3
8078,2
8079,4
8080,0
8081,0
8082,2
8083,2
8084,0
8085,0
8086,2
8087,9
8088,0
8089,0
8090,0
8091,1
8092,0
8093,0
8094,1
8095,1
8096,0
8097,0
8098,1
8099,0
8100,0
8101,0
8102,0
8103,0
8104,0
8105,0
8106,1
8107,0
8108,0
8109,0
8110,0
8111,1
8112,0
8113,0
8114,4
8115,0
8116,0
8117,0
8118,0
8119,0
8120,0
8121,0
8122,0
8123,0
8124,0
8125,0
8126,0
8127,1
8128,8
8129,1
8130,0
8131,0
8132,4
8133,0
8134,0
8135,0
8136,0
8137,5
8138,0
8139,0
8140,0
8141,4
8142,8
8143,0
8144,1
8145,0
8146,0
8147,0
8148,0
8149,4
8150,1
8151,0
8152,10
8153,2
8154,13
8155,13
8156,5
8157,17
8158,7
8159,0
8160,7
8161,13
8162,0
8163,0
8164,0
8165,7
8166,3
8167,11
8168,19
8169,19
8170,0
8171,4
8172,17
8173,5
8174,4
8175,5
8176,8
8177,0
8178,0
8179,20
8180,9
8181,11
8182,2
8183,2
8184,10
8185,24
8186,0
8187,0
8188,0
8189,0
8190,4
8191,8
8192,10
8193,13
8194,11
8195,11
8196,5
8197,13
8198,0
8199,0
8200,13
8201,9
8202,0
8203,0
8204,5
8205,9
8206,1
8207,6
8208,6
8209,7
8210,4
8211,0
8212,8
8213,2
8214,0
8215,0
8216,0
8217,0
8218,1
8219,4
8220,17
8221,11
8222,20
8223,8
8224,2
8225,3
8226,0
8227,0
8228,0
8229,1
8230,6
8231,0
8232,1
8233,2
8234,4
8235,11
8236,0
8237,0
8238,1
8239,4
8240,0
8241,3
8242,6
8243,10
8244,24
8245,7
8246,2
8247,0
8248,1
8249,1
8250,9
8251,9
8252,3
8253,0
8254,0
8255,3
8256,13
8257,9
8258,14
8259,0
8260,0
8261,2
8262,1
8263,0
8264,0
8265,0
8266,2
8267,1
8268,0
8269,0
8270,0
8271,0
8272,0
8273,0
8274,0
8275,2
8276,1
8277,1
8278,0
8279,0
8280,1
8281,3
8282,0
8283,0
8284,0
8285,0
8286,0
8287,0
8288,0
8289,0
8290,0
8291,0
8292,1
8293,0
8294,0
8295,2
8296,1
8297,2
8298,0
8299,0
8300,1
8301,0
8302,1
8303,0
8304,0
8305,1
8306,0
8307,0
8308,0
8309,1
8310,1
8311,0
8312,0
8313,0
8314,0
8315,0
8316,0
8317,0
8318,0
8319,0
8320,0
8321,6
8322,4
8323,0
8324,7
8325,0
8326,0
8327,0
8328,0
8329,0
8330,7
8331,1
8332,2
8333,0
8334,0
8335,0
8336,0
8337,0
8338,0
8339,0
8340,5
8341,2
8342,4
8343,0
8344,0
8345,0
8346,0
8347,0
8348,0
8349,0
8350,0
8351,0
8352,0
8353,0
8354,0
8355,0
8356,0
8357,0
8358,4
8359,2
8360,0
8361,0
8362,0
8363,0
8364,0
8365,0
8366,0
8367,0
8368,0
8369,6
8370,11
8371,8
8372,0
8373,0
8374,0
8375,0
8376,1
8377,5
8378,4
8379,0
8380,0
8381,5
8382,0
8383,1
8384,0
8385,0
8386,0
8387,4
8388,0
8389,1
8390,0
8391,2
8392,0
8393,5
8394,0
8395,1
8396,0
8397,1
8398,1
8399,0
8400,0
8401,0
8402,0
8403,0
8404,0
8405,0
8406,0
8407,0
8408,7
8409,10
8410,0
8411,1
8412,0
8413,2
8414,0
8415,2
8416,5
8417,1
8418,0
8419,1
8420,0
8421,2
8422,4
8423,3
8424,2
8425,0
8426,0
8427,0
8428,0
8429,2
8430,10
8431,1
8432,0
8433,0
8434,0
8435,0
8436,0
8437,2
8438,1
8439,0
8440,0
8441,0
8442,0
8443,1
8444,5
8445,4
8446,1
8447,2
8448,0
8449,0
8450,4
8451,5
8452,7
8453,0
8454,2
8455,0
8456,0
8457,0
8458,0
8459,0
8460,1
8461,0
8462,0
8463,0
8464,1
8465,0
8466,0
8467,6
8468,11
8469,0
8470,13
8471,2
8472,0
8473,0
8474,0
8475,0
8476,0
8477,0
8478,1
8479,0
8480,1
8481,0
8482,1
8483,0
8484,0
8485,0
8486,0
8487,2
8488,2
8489,1
8490,0
8491,0
8492,1
8493,0
8494,0
8495,0
8496,0
8497,0
8498,0
8499,0
8500,1
8501,0
8502,0
8503,0
8504,0
8505,0
8506,0
8507,0
8508,0
8509,3
8510,0
8511,0
8512,3
8513,10
8514,12
8515,0
8516,0
8517,0
8518,0
8519,0
8520,1
8521,0
8522,0
8523,0
8524,0
8525,0
8526,0
8527,0
8528,2
8529,0
8530,1
8531,0
8532,0
8533,0
8534,0
8535,2
8536,0
8537,0
8538,1
8539,1
8540,0
8541,0
8542,0
8543,0
8544,0
8545,0
8546,0
8547,11
8548,10
8549,15
8550,2
8551,4
8552,1
8553,0
8554,0
8555,0
8556,0
8557,4
8558,0
8559,0
8560,0
8561,0
8562,0
8563,0
8564,0
8565,0
8566,0
8567,0
8568,0
8569,13
8570,1
8571,0
8572,0
8573,4
8574,0
8575,0
8576,0
8577,0
8578,5
8579,1
8580,0
8581,0
8582,26
8583,19
8584,0
8585,0
8586,0
8587,0
8588,1
8589,0
8590,0
